Consulta,Segundos
Q1,0.22912679299952288
Q2,0.04844066800069413
Q3,0.09769493299972964
Q4,0.09063474300091912
Q5,0.028579265999724157
Q6,0.032854732000487274
Q7,0.03708943099991302
Q8,0.03521750300023996
Q9,0.10017500100002508
Q10,0.05697741999938444
Q11,0.023149120999732986
Q12,0.06749531700006628
Q13,0.06429118400046718
Q14,0.03871577099926071
Q16,0.03723818999969808
Q17,18.979975957001443
Q18,0.22165419700104394
Q19,0.05788090900023235
Q20,35.67776323900034
Q21,0.0627537479995226
Q22,0.03655427400008193
